id,nome,latitude,longitude,status
70,Ponto A70,-22.9345,-43.2345,ativo
71,Ponto A71,-22.9350,-43.2350,ativo
72,Ponto A72,-22.9355,-43.2355,ativo
73,Ponto A73,-22.9360,-43.2360,ativo
74,Ponto A74,-22.9365,-43.2365,ativo
75,Ponto A75,-22.9370,-43.2370,ativo
76,Ponto A76,-22.9375,-43.2375,ativo
77,Ponto A77,-22.9380,-43.2380,ativo
78,Ponto A78,-22.9385,-43.2385,ativo
79,Ponto A79,-22.9390,-43.2390,ativo
80,Ponto A80,-22.9395,-43.2395,ativo
81,Ponto A81,-22.9400,-43.2400,ativo
82,Ponto A82,-22.9405,-43.2405,ativo
83,Ponto A83,-22.9410,-43.2410,ativo
84,Ponto A84,-22.9415,-43.2415,ativo
85,Ponto A85,-22.9420,-43.2420,ativo
86,Ponto A86,-22.9425,-43.2425,ativo
87,Ponto A87,-22.9430,-43.2430,ativo
88,Ponto A88,-22.9435,-43.2435,ativo
89,Ponto A89,-22.9440,-43.2440,ativo
90,Ponto A90,-22.9445,-43.2445,ativo
91,Ponto A91,-22.9450,-43.2450,ativo
92,Ponto A92,-22.9455,-43.2455,ativo
93,Ponto A93,-22.9460,-43.2460,ativo
94,Ponto A94,-22.9465,-43.2465,ativo
95,Ponto A95,-22.9470,-43.2470,ativo
96,Ponto A96,-22.9475,-43.2475,ativo
97,Ponto A97,-22.9480,-43.2480,ativo
98,Ponto A98,-22.9485,-43.2485,ativo
99,Ponto A99,-22.9490,-43.2490,ativo
100,Ponto A100,-22.9495,-43.2495,ativo
101,Ponto A101,-22.9500,-43.2500,ativo
102,Ponto A102,-22.9505,-43.2505,ativo
103,Ponto A103,-22.9510,-43.2510,ativo
104,Ponto A104,-22.9515,-43.2515,ativo
105,Ponto A105,-22.9520,-43.2520,ativo
106,Ponto A106,-22.9525,-43.2525,ativo
107,Ponto A107,-22.9530,-43.2530,ativo
108,Ponto A108,-22.9535,-43.2535,ativo
109,Ponto A109,-22.9540,-43.2540,ativo
110,Ponto A110,-22.9545,-43.2545,ativo
111,Ponto A111,-22.9550,-43.2550,ativo
112,Ponto A112,-22.9555,-43.2555,ativo
113,Ponto A113,-22.9560,-43.2560,ativo
114,Ponto A114,-22.9565,-43.2565,ativo
115,Ponto A115,-22.9570,-43.2570,ativo
116,Ponto A116,-22.9575,-43.2575,ativo
117,Ponto A117,-22.9580,-43.2580,ativo
118,Ponto A118,-22.9585,-43.2585,ativo
119,Ponto A119,-22.9590,-43.2590,ativo
120,Ponto A120,-22.9595,-43.2595,ativo 
